,Jurusan Sekolah,Jenis Sekolah,Jurusan Diterima,PTN Diterima,Rata-rata Matematika,Rata-rata Inggris,Rata-rata Indonesia,Rata-rata Fisika,Rata-rata Kimia,Rata-rata Biologi,Rata-rata Ekonomi,Rata-rata Geografi,Rata-rata Sosiologi,Rata-rata Sejarah
39,IPA,SMA,Teknologi Industri Pertanian,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
40,IPA,SMA,Teknik Mesin Dan Biosistem,IPB,95.0,94.0,94.0,96.0,95.0,94.0,86.0,83.52666666666667,,91.0
41,IPA,SMA,Ilmu Keluarga Dan Konsumen,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
42,IPA,SMA,Ilmu Keluarga Dan Konsumen,IPB,87.0,82.0,84.0,85.0,85.0,86.0,81.0,83.52666666666667,,83.0
43,IPA,SMA,Agronomi Dan Holtikultura,IPB,91.0,91.0,89.0,89.0,90.0,91.0,83.0,83.52666666666667,,82.67647058823529
44,IPA,SMA,Fakultas Kedokteran Hewan,IPB,87.0,98.0,98.0,93.0,95.0,91.0,83.0,83.52666666666667,,82.67647058823529
45,IPA,SMA,Teknologi Produksi Ternak,IPB,86.0,84.0,90.0,82.0,85.0,82.0,85.0,85.21066666666665,,86.0
46,IPA,SMA,Agribisnis,IPB,95.0,90.0,88.0,91.0,89.0,90.0,85.0,81.316,,89.0
47,IPA,SMA,Statistika,IPB,87.0,84.0,90.0,91.0,85.0,92.0,83.0,83.316,,87.0
48,IPA,SMA,Teknologi Dan Manajemen Perikanan Budidaya,IPB,86.0,85.0,85.0,84.0,84.0,82.0,83.0,83.52666666666667,,86.0
49,IPA,SMA,Stei,ITB,92.0,90.0,85.0,87.0,92.0,85.0,84.65584415584416,85.0,,86.80000000000001
50,IPA,SMA,Fakultas Teknik Industri,ITB,86.99512195121952,83.91863414634147,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
51,IPA,SMA,Fitb,ITB,93.0,87.0,89.0,89.0,83.0,81.0,84.65584415584416,85.0,,86.80000000000001
52,IPA,SMA,Sith-Sains,ITB,84.0,96.0,83.0,87.0,90.0,87.0,84.65584415584416,85.0,,86.80000000000001
53,IPA,SMA,Fakultas Teknik Mesin Dan Dirgantara,ITB,91.0,82.0,90.0,85.0,88.0,85.0,88.0,85.0,,86.80000000000001
54,IPA,SMA,Fsrd,ITB,77.0,86.64829268292684,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
55,IPA,SMA,Fitb,ITB,87.0,83.0,85.0,85.0,86.0,86.0,84.65584415584416,85.0,,86.80000000000001
56,IPA,SMA,Fmipa,ITB,93.0,86.64829268292684,93.0,93.0,98.0,91.0,87.99350649350652,85.0,,93.0
57,IPA,SMA,Fmipa,ITB,34.5,34.5,34.5,34.5,34.5,34.5,84.65584415584416,85.0,,86.80000000000001
58,IPA,SMA,Fti ,ITB,92.0,97.0,84.0,97.0,98.0,91.0,84.65584415584416,85.0,,86.80000000000001
59,IPA,SMA,Fti - G,ITB,87.0,79.0,83.0,87.0,91.0,82.0,84.65584415584416,85.0,,86.80000000000001
60,IPA,SMA,Stei,ITB,92.0,93.0,88.0,93.0,95.0,93.0,81.0,85.0,,85.0
61,IPA,SMA,Stei,ITB,91.0,89.0,85.0,88.0,85.0,88.0,85.99350649350652,85.0,,88.0
62,IPA,SMA,Sekolah Bisnis & Manajemen,ITB,87.0,85.0,78.0,84.0,78.0,81.0,85.0,85.0,,84.0
63,IPA,SMA,Fmipa,ITB,86.99512195121952,86.64829268292684,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
64,IPA,SMA,Fmipa,ITB,84.0,81.0,78.0,85.0,95.0,76.0,84.65584415584416,85.0,,86.80000000000001
65,IPA,SMA,Fmipa,ITB,86.99512195121952,86.64829268292684,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
66,IPA,SMA,Ftsl,ITB,93.0,91.0,90.0,90.0,87.0,86.34064634146341,84.65584415584416,85.0,,86.80000000000001
67,IPA,SMA,Sappk,ITB,85.0,88.0,92.0,81.0,89.0,91.0,84.65584415584416,85.0,,88.0
68,IPA,SMA,Sappk,ITB,86.0,89.0,87.0,82.0,85.0,89.0,84.65584415584416,85.0,,86.80000000000001
69,IPA,SMA,Fmipa,ITB,93.0,85.0,84.0,89.0,88.0,89.0,84.65584415584416,85.0,,86.80000000000001
70,IPA,SMA,Fmipa,ITB,86.99512195121952,86.64829268292684,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
71,IPA,SMA,Matematika (Fak. Matematika & Ilmu Pengetahuan Alam),ITB,90.0,87.0,82.0,90.0,88.0,85.0,83.33116883116884,82.2,,88.0
72,IPA,SMA,Fttm,ITB,86.99512195121952,86.64829268292684,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
73,IPA,SMA,Fttm,ITB,89.0,85.0,86.0,93.0,88.0,84.0,77.0,85.0,,82.0
74,IPA,SMA,Fmipa,ITB,90.0,90.0,93.0,90.0,93.0,87.0,84.65584415584416,85.0,,86.80000000000001
75,IPA,SMA,Fti,ITB,96.0,89.0,89.0,89.0,96.0,87.0,84.65584415584416,85.0,,86.80000000000001
76,IPA,SMA,Fttm,ITB,86.99512195121952,86.64829268292684,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
77,IPA,SMA,Fakultas Ilmu Dan Teknologi Kebumian,ITB,86.99512195121952,86.64829268292684,85.20731707317074,86.53878205128206,87.54878048780488,84.70323170731706,84.65584415584416,85.0,,86.80000000000001
78,IPA,SMA,Sappk - Peminatan Perencanaan Wilayah Kota Kelas Ganesha,ITB,79.0,91.0,85.0,86.53878205128206,86.0,90.0,84.65584415584416,85.0,,86.80000000000001
79,IPA,SMA,Fmipa,ITB,95.0,89.0,87.0,94.0,91.0,82.0,82.0,77.0,,90.0
